Team Heretics,14
G2 Esports,13
FNATIC,13
Sentinels,11
FURIA,10
Gen.G,7
Natus Vincere,6
Team Secret,4
KOI,4
KRÜ Esports,4
100 Thieves,4
Team Vitality,3
T1,3
Cloud9,3
NRG Esports,3
DRX,3
Evil Geniuses,NULL
BBL Esports,NULL
GIANTX,NULL
Rex Regum Qeon,NULL
FunPlus Phoenix,NULL
LEVIATÁN,NULL
Team Liquid,NULL
Bilibili Gaming,NULL
Karmine Corp,NULL
Gentle Mates,NULL
EDward Gaming,NULL
FUT Esports,NULL
Global Esports,NULL
DetonatioN FocusMe,NULL
LOUD,NULL
MIBR,NULL
Paper Rex,NULL
BLEED,NULL
Talon Esports,NULL
ZETA DIVISION,NULL
Trace Esports,NULL
