Valorant Champions 2024,Group Stage,Abyss,FNATIC,2,1
Valorant Champions 2024,Playoffs,Abyss,FNATIC,2,1
Valorant Champions 2024,Group Stage,Ascent,Sentinels,4,1
Champions Tour 2024: EMEA Stage 1,Regular Season,Ascent,FNATIC,4,1
Valorant Champions 2024,Playoffs,Bind,FNATIC,5,1
Champions Tour 2024: EMEA Stage 1,Playoffs,Breeze,FNATIC,4,1
Champions Tour 2024: China Stage 2,Regular Season,Haven,All Gamers,3,1
Champions Tour 2024: Pacific Stage 2,Regular Season,Haven,Paper Rex,3,1
Champions Tour 2024: Pacific Stage 2,Regular Season,Icebox,Talon Esports,9,1
Valorant Champions 2024,Group Stage,Lotus,FNATIC,5,1
Champions Tour 2024: EMEA Stage 1,Regular Season,Split,Team Liquid,10,1
Champions Tour 2024: EMEA Kickoff,Group Stage,Sunset,Gentle Mates,7,1
