Chronicle,FNATIC,13,13.54
johnqt,Sentinels,8,7.14
Boo,Team Heretics,8,6.84
valyn,G2 Esports,7,7.37
Khalil,FURIA,6,15.38
leaf,G2 Esports,6,6.32
2ge,Team Secret,4,22.22
havoc,FURIA,4,10.26
grubinho,KOI,4,8.00
eeiu,100 Thieves,4,6.06
Shyy,KRÜ Esports,4,5.19
Lakia,Gen.G,4,3.15
s0m,NRG Esports,3,21.43
runi,Cloud9,3,6.98
Shao,Natus Vincere,3,5.77
Rossy,T1,3,5.66
ardiis,Natus Vincere,3,5.77
trexx,Team Vitality,3,4.41
MaKo,DRX,3,3.41
Munchkin,Gen.G,3,2.36
benjyfishy,Team Heretics,3,2.56
Sacy,Sentinels,3,2.68
RieNs,Team Heretics,3,2.56
Elite,BBL Esports,NULL,NULL
kiNgg,LEVIATÁN,NULL,NULL
nAts,Team Liquid,NULL,NULL
Less,LOUD,NULL,NULL
Derrek,Evil Geniuses,NULL,NULL
RgLMeister,MIBR,NULL,NULL
Haodong,EDward Gaming,NULL,NULL
TenZ,Sentinels,NULL,NULL
ANGE1,Natus Vincere,NULL,NULL
hiro,FNATIC,NULL,NULL
Karon,Gen.G,NULL,NULL
tuyz,LOUD,NULL,NULL
MiniBoo,Team Heretics,NULL,NULL
Carpe,T1,NULL,NULL
Sayaplayer,T1,NULL,NULL
jzz,MIBR,NULL,NULL
Jamppi,Team Liquid,NULL,NULL
keznit,KRÜ Esports,NULL,NULL
sh1n,Karmine Corp,NULL,NULL
Cryocells,100 Thieves,NULL,NULL
BuZz,DRX,NULL,NULL
TakaS,Gentle Mates,NULL,NULL
sScary,BLEED,NULL,NULL
NDG,Team Secret,NULL,NULL
iZu,T1,NULL,NULL
stax,DRX,NULL,NULL
Palla,MIBR,NULL,NULL
Wo0t,Team Heretics,NULL,NULL
Ethan,NRG Esports,NULL,NULL
Jinggg,Paper Rex,NULL,NULL
Autumn,FunPlus Phoenix,NULL,NULL
mazin,MIBR,NULL,NULL
K4DAVRA,Gentle Mates,NULL,NULL
ceNder,Team Vitality,NULL,NULL
Victor,NRG Esports,NULL,NULL
Mistic,Team Liquid,NULL,NULL
nataNk,Gentle Mates,NULL,NULL
Zyppan,Natus Vincere,NULL,NULL
bang,100 Thieves,NULL,NULL
JitBoyS,Talon Esports,NULL,NULL
C0M,LEVIATÁN,NULL,NULL
Marved,NRG Esports,NULL,NULL
Keiko,Team Liquid,NULL,NULL
Surf,Talon Esports,NULL,NULL
Pa1nt,MIBR,NULL,NULL
Lmemore,Rex Regum Qeon,NULL,NULL
Lysoar,FunPlus Phoenix,NULL,NULL
neth,DetonatioN FocusMe,NULL,NULL
SugarZ3ro,ZETA DIVISION,NULL,NULL
beyAz,Gentle Mates,NULL,NULL
xffero,Rex Regum Qeon,NULL,NULL
Meiy,DetonatioN FocusMe,NULL,NULL
pAura,BBL Esports,NULL,NULL
Laz,ZETA DIVISION,NULL,NULL
tex,LEVIATÁN,NULL,NULL
Governor,Talon Esports,NULL,NULL
Benkai,Global Esports,NULL,NULL
jawgemo,Evil Geniuses,NULL,NULL
QutionerX,BBL Esports,NULL,NULL
reazy,BBL Esports,NULL,NULL
zekken,Sentinels,NULL,NULL
nephh,Bilibili Gaming,NULL,NULL
Monyet,Paper Rex,NULL,NULL
Zellsis,Sentinels,NULL,NULL
Knight,Bilibili Gaming,NULL,NULL
runneR,Team Vitality,NULL,NULL
LuoK1ng,Trace Esports,NULL,NULL
invy,Team Secret,NULL,NULL
Jemkin,Rex Regum Qeon,NULL,NULL
Estrella,Rex Regum Qeon,NULL,NULL
Destrian,Team Vitality,NULL,NULL
fl1pzjder,Rex Regum Qeon,NULL,NULL
Fit1nho,GIANTX,NULL,NULL
f0rsakeN,Paper Rex,NULL,NULL
Foxy9,DRX,NULL,NULL
Quick,LOUD,NULL,NULL
ban,Talon Esports,NULL,NULL
Boaster,FNATIC,NULL,NULL
Enzo,Team Liquid,NULL,NULL
primmie,Talon Esports,NULL,NULL
JonahP,G2 Esports,NULL,NULL
Russ,Global Esports,NULL,NULL
crazyguy,BLEED,NULL,NULL
moose,Cloud9,NULL,NULL
logaN,Gentle Mates,NULL,NULL
CHICHOO,EDward Gaming,NULL,NULL
NaturE,Evil Geniuses,NULL,NULL
S1Mon,EDward Gaming,NULL,NULL
artzin,MIBR,NULL,NULL
SSeeS,DetonatioN FocusMe,NULL,NULL
nobody,EDward Gaming,NULL,NULL
heat,KRÜ Esports,NULL,NULL
Anthem,DetonatioN FocusMe,NULL,NULL
Wailers,Gentle Mates,NULL,NULL
wippie,Cloud9,NULL,NULL
BeYN,DRX,NULL,NULL
Redgar,GIANTX,NULL,NULL
Yosemite,Bilibili Gaming,NULL,NULL
Zest,BLEED,NULL,NULL
crashies,NRG Esports,NULL,NULL
sheydos,KOI,NULL,NULL
Derke,FNATIC,NULL,NULL
Egoist,BLEED,NULL,NULL
BerLIN,FunPlus Phoenix,NULL,NULL
ShadoW,KOI,NULL,NULL
kamo,KOI,NULL,NULL
AAAAY,FunPlus Phoenix,NULL,NULL
Mazino,LEVIATÁN,NULL,NULL
AtaKaptan,FUT Esports,NULL,NULL
rich,MIBR,NULL,NULL
Sayf,Team Vitality,NULL,NULL
t3xture,Gen.G,NULL,NULL
MrFaliN,FUT Esports,NULL,NULL
Jremy,Team Secret,NULL,NULL
Polvi,Global Esports,NULL,NULL
BORKUM,Team Secret,NULL,NULL
xand,FURIA,NULL,NULL
hiroronn,ZETA DIVISION,NULL,NULL
pANcada,LOUD,NULL,NULL
ShahZaM,MIBR,NULL,NULL
marteen,Karmine Corp,NULL,NULL
purp0,GIANTX,NULL,NULL
Brave,BBL Esports,NULL,NULL
Melser,KRÜ Esports,NULL,NULL
OXY,Cloud9,NULL,NULL
neT,G2 Esports,NULL,NULL
starxo,KOI,NULL,NULL
cauanzin,LOUD,NULL,NULL
Medusa,DetonatioN FocusMe,NULL,NULL
Retla,BLEED,NULL,NULL
Kai,Trace Esports,NULL,NULL
FiNESSE,NRG Esports,NULL,NULL
supamen,Evil Geniuses,NULL,NULL
blaZek1ng,Global Esports,NULL,NULL
vanity,Cloud9,NULL,NULL
hoody,GIANTX,NULL,NULL
Leo,FNATIC,NULL,NULL
icy,G2 Esports,NULL,NULL
cNed,FUT Esports,NULL,NULL
stax,T1,NULL,NULL
trent,G2 Esports,NULL,NULL
frz,MIBR,NULL,NULL
xccurate,T1,NULL,NULL
Kicks,Team Vitality,NULL,NULL
Monyet,Rex Regum Qeon,NULL,NULL
qRaxs,FUT Esports,NULL,NULL
something,Paper Rex,NULL,NULL
mindfreak,Paper Rex,NULL,NULL
2ge,Rex Regum Qeon,NULL,NULL
JessieVash,Team Secret,NULL,NULL
whzy,Bilibili Gaming,NULL,NULL
lenne,Talon Esports,NULL,NULL
Deryeon,BLEED,NULL,NULL
Crws,Talon Esports,NULL,NULL
heybay,Trace Esports,NULL,NULL
Life,FunPlus Phoenix,NULL,NULL
yay,BLEED,NULL,NULL
yetujey,FUT Esports,NULL,NULL
mwzera,FURIA,NULL,NULL
Apoth,Evil Geniuses,NULL,NULL
paTiTek,Team Heretics,NULL,NULL
Demon1,NRG Esports,NULL,NULL
jakee,Cloud9,NULL,NULL
SUYGETSU,Natus Vincere,NULL,NULL
Lightningfast,Global Esports,NULL,NULL
mta,KRÜ Esports,NULL,NULL
Dep,ZETA DIVISION,NULL,NULL
liazzi,MIBR,NULL,NULL
Smoggy,EDward Gaming,NULL,NULL
kon4n,FURIA,NULL,NULL
liazzi,FURIA,NULL,NULL
yuran,ZETA DIVISION,NULL,NULL
Meteor,Gen.G,NULL,NULL
tomaszy,Karmine Corp,NULL,NULL
Flex1n,Bilibili Gaming,NULL,NULL
nzr,FURIA,NULL,NULL
Xeppaa,Cloud9,NULL,NULL
nukkye,GIANTX,NULL,NULL
Famsii,GIANTX,NULL,NULL
d4v41,Paper Rex,NULL,NULL
Wild0reoo,Team Secret,NULL,NULL
Alfajer,FNATIC,NULL,NULL
saadhak,LOUD,NULL,NULL
Cloud,GIANTX,NULL,NULL
FengF,Trace Esports,NULL,NULL
aspas,LEVIATÁN,NULL,NULL
MAGNUM,Karmine Corp,NULL,NULL
N4RRATE,Karmine Corp,NULL,NULL
Asuna,100 Thieves,NULL,NULL
Biank,Trace Esports,NULL,NULL
Boostio,100 Thieves,NULL,NULL
ZmjjKK,EDward Gaming,NULL,NULL
Klaus,KRÜ Esports,NULL,NULL
Flashback,DRX,NULL,NULL
