Champions Tour 2024: Americas Kickoff,All Stages,zekken,Sentinels,746,1
Champions Tour 2024: Americas Stage 1,All Stages,aspas,LEVIATÁN,1038,1
Champions Tour 2024: Americas Stage 2,All Stages,aspas,LEVIATÁN,902,1
Champions Tour 2024: China Kickoff,All Stages,FengF,Trace Esports,566,1
Champions Tour 2024: China Stage 1,All Stages,ZmjjKK,EDward Gaming,1058,1
Champions Tour 2024: China Stage 2,All Stages,Life,FunPlus Phoenix,900,1
Champions Tour 2024: EMEA Kickoff,All Stages,N4RRATE,Karmine Corp,684,1
Champions Tour 2024: EMEA Stage 1,All Stages,Derke,FNATIC,1014,1
Champions Tour 2024: EMEA Stage 2,All Stages,Sayf,Team Vitality,980,1
Champions Tour 2024: Masters Madrid,All Stages,zekken,Sentinels,762,1
Champions Tour 2024: Masters Shanghai,All Stages,Wo0t,Team Heretics,854,1
Champions Tour 2024: Pacific Kickoff,All Stages,t3xture,Gen.G,776,1
Champions Tour 2024: Pacific Stage 1,All Stages,t3xture,Gen.G,1052,1
Champions Tour 2024: Pacific Stage 2,All Stages,BuZz,DRX,996,1
Valorant Champions 2024,All Stages,RieNs,Team Heretics,838,1
